Title,Ingredients,Label
Ayam Woku Manado,kunyit bawang merah bawang putih cabe merah cabe,0
Ayam Woku Manado,ayam jeruk nipis garam kunyit,0
Ayam Woku Manado,rawit merah kemiri sereh daun,0
Ayam Woku Manado,daun kemangi air,0
Ayam Woku Manado,merah kemiri sereh daun salam daun kemangi air,0
Ayam Woku Manado,kemangi air,0
Ayam Woku Manado,kemangi,0
Ayam Woku Manado,nipis garam kunyit bawang merah,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,sereh daun salam,0
Ayam Woku Manado,putih cabe merah cabe rawit merah kemiri sereh daun,0
Ayam Woku Manado,kemiri,0
Ayam Woku Manado,nipis garam,0
Ayam Woku Manado,merah bawang putih cabe merah cabe rawit merah,0
Ayam Woku Manado,daun salam daun,0
Ayam Woku Manado,daun salam,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah,0
Ayam Woku Manado,air,0
Ayam Woku Manado,garam kunyit bawang merah bawang,0
Ayam Woku Manado,merah,0
Ayam Woku Manado,ayam jeruk nipis garam kunyit bawang merah,0
Ayam Woku Manado,kemiri sereh daun,0
Ayam Woku Manado,cabe merah cabe,0
Ayam Woku Manado,merah bawang,0
Ayam Woku Manado,merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh,0
Ayam Woku Manado,putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,sereh daun salam daun kemangi,0
Ayam Woku Manado,ayam jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih,0
Ayam Woku Manado,cabe rawit merah,0
Ayam Woku Manado,kemiri sereh daun salam,0
Ayam Woku Manado,sereh daun salam daun,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh,0
Ayam Woku Manado,putih,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah cabe,0
Ayam Woku Manado,merah kemiri sereh daun salam daun kemangi,0
Ayam Woku Manado,kemiri sereh daun salam daun,0
Ayam Woku Manado,kemiri sereh daun salam daun kemangi air,0
Ayam Woku Manado,putih cabe merah,0
Ayam Woku Manado,salam,0
Ayam Woku Manado,merah kemiri sereh,0
Ayam Woku Manado,merah bawang putih cabe,0
