Title,Ingredients,Label
Ayam Woku Manado,salam,0
Ayam Woku Manado,bawang,0
Ayam Woku Manado,daun kemangi sedap,0
Ayam Woku Manado,merah cabe rawit merah kemiri sereh daun,0
Ayam Woku Manado,daun salam daun,0
Ayam Woku Manado,cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,kemangi sedap air,0
Ayam Woku Manado,kampung jeruk nipis garam kunyit bawang merah bawang putih cabe,0
Ayam Woku Manado,kemangi sedap,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,kampung jeruk,0
Ayam Woku Manado,nipis garam,0
Ayam Woku Manado,jeruk nipis garam kunyit,0
Ayam Woku Manado,salam daun kemangi,0
Ayam Woku Manado,salam daun kemangi sedap,0
Ayam Woku Manado,daun salam daun kemangi,0
Ayam Woku Manado,putih cabe merah cabe,0
Ayam Woku Manado,nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah,0
Ayam Woku Manado,garam kunyit bawang,0
Ayam Woku Manado,sedap air,0
Ayam Woku Manado,bawang putih cabe merah cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,rawit merah kemiri,0
Ayam Woku Manado,nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh,0
Ayam Woku Manado,air,0
Ayam Woku Manado,merah,0
Ayam Woku Manado,kampung jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,daun salam,0
Ayam Woku Manado,sereh daun,0
Ayam Woku Manado,jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri,0
Ayam Woku Manado,rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,nipis garam kunyit bawang merah bawang putih,0
Ayam Woku Manado,cabe merah cabe rawit merah kemiri sereh daun salam daun kemangi sedap,0
Ayam Woku Manado,bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam,0
Ayam Woku Manado,garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri sereh daun salam daun,0
Ayam Woku Manado,salam daun kemangi sedap air,0
